0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:53 +0530] "GET /newmoodle/faculty.jsp HTTP/1.1" 200 13626
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/addnotice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatefac.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:06:54 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:07:22 +0530] "POST /newmoodle/select HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [05/May/2015:19:07:47 +0530] "POST /newmoodle/addfile HTTP/1.1" 200 13672
0:0:0:0:0:0:0:1 - - [05/May/2015:19:07:47 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/May/2015:19:08:07 +0530] "POST /newmoodle/Addnotice HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [05/May/2015:19:08:49 +0530] "POST /newmoodle/reply HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/May/2015:19:08:49 +0530] "POST /newmoodle/reply HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:02 +0530] "GET /newmoodle/logout HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:11 +0530] "POST /newmoodle/login HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:30 +0530] "GET /newmoodle/student.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:30 +0530] "GET /newmoodle/login.jsp HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:31 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:31 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:31 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:31 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:31 +0530] "GET /newmoodle/img/picto_navigation.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:31 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:31 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:31 +0530] "GET /newmoodle/img/imac.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:38 +0530] "GET /newmoodle/student.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:38 +0530] "GET /newmoodle/login.jsp HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:44 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14696
0:0:0:0:0:0:0:1 - - [05/May/2015:19:09:44 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/selectname.js HTTP/1.1" 404 1045
