0:0:0:0:0:0:0:1 - - [11/May/2015:00:21:30 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/facultyRegis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:21:30 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/AssignSubject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:21:30 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:21:31 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:21:47 +0530] "POST /newmoodle/AddSubject HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:21 +0530] "POST /newmoodle/AddSubject HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/admin.jsp HTTP/1.1" 200 23842
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatefacresitration.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/AssignSubject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateAssign.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/facultyRegis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:26 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatecourse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:27 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:22:54 +0530] "POST /newmoodle/AddSubject HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/admin.jsp HTTP/1.1" 200 23842
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatefacresitration.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateAssign.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/facultyRegis.js HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatecourse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/AssignSubject.js HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:07 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:25:28 +0530] "POST /newmoodle/AddSubject HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/admin.jsp HTTP/1.1" 200 23842
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatefacresitration.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateAssign.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatecourse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/AssignSubject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validateList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/facultyRegis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:09 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:27:31 +0530] "POST /newmoodle/AddSubject HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/admin.jsp HTTP/1.1" 200 23937
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatecourse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2015:00:30:52 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validatefacresitration.js HTTP/1.1" 304 -
