what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1430143065238
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1430143065241
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1430143065246
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1430143065258
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1430143065263
os,sysinfo,,,"win32",1430143065283
arch,sysinfo,,,"x86_64",1430143065283
ws,sysinfo,,,"win32",1430143065283
locale,sysinfo,,,"en_US",1430143065283
processors,sysinfo,,,"4",1430143065283
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1430143065283
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1430143065283
java.specification.name,sysinfo,,,"Java Platform API Specification",1430143065283
java.specification.vendor,sysinfo,,,"Oracle Corporation",1430143065283
java.specification.version,sysinfo,,,"1.7",1430143065283
java.vendor,sysinfo,,,"Oracle Corporation",1430143065283
java.version,sysinfo,,,"1.7.0_75",1430143065283
java.vm.info,sysinfo,,,"mixed mode",1430143065283
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1430143065283
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430143065283
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1430143065283
java.vm.specification.version,sysinfo,,,"1.7",1430143065283
java.vm.vendor,sysinfo,,,"Oracle Corporation",1430143065283
java.vm.version,sysinfo,,,"24.75-b04",1430143065283
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1430143065283
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1430143065330
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1430143065386
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1430143065480
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1430143065960
